,id1,id2
558,1495548,2498079
559,1622019,2048764
560,1050936,2022486
561,1046924,2111411
562,1583269,2029708
563,1629356,2420882
564,1344425,2128786
565,1246826,2196554
566,1845170,2407444
567,1346465,2301539
568,1828385,2674381
569,1179590,2628798
570,1350159,2164207
571,1936596,2342351
572,1495098,2841036
573,1753064,2056816
574,1711725,2980379
575,1550576,2413705
576,1996797,2195271
577,1557122,2123103
578,1057012,2493334
579,1941908,2898499
580,1684601,2328335
581,1597666,2695735
582,1358487,2863986
583,1425221,2788947
584,1202607,2642616
585,1842118,2325887
586,1548115,2722502
587,1654561,2336803
588,1724158,2312777
589,1990075,2041049
590,1456560,2579782
591,1895550,2881075
592,1533895,2271212
593,1142954,2185376
594,1177347,2041429
595,1128365,2819787
596,1089934,2128849
597,1355812,2252707
598,1587036,2579064
599,1899767,2303921
600,1363818,2604095
601,1104075,2549537
602,1885711,2473626
603,1223026,2627729
604,1360152,2714098
605,1734860,2176448
606,1129517,2494243
607,1931822,2054603
608,1216744,2663823
609,1667399,2056325
610,1723132,2457231
611,1188852,2146696
612,1078348,2787455
613,1959643,2053406
614,1695037,2731508
615,1256437,2983647
616,1580304,2038431
617,1567730,2140036
618,1898448,2763461
619,1637900,2209086
620,1804922,2888541
621,1549255,2005256
622,1450077,2716523
623,1077717,2932619
624,1741242,2668546
625,1558798,2817065
626,1816430,2451350
627,1873208,2115099
628,1645475,2936603
629,1780037,2603370
630,1433923,2544211
631,1139383,2622074
632,1627000,2085329
633,1870013,2001657
634,1794734,2400142
635,1413127,2473873
636,1666332,2907041
637,1955035,2264030
638,1540455,2098427
639,1884822,2517141
640,1878347,2843069
641,1290394,2100338
642,1873931,2173093
643,1219865,2962345
644,1011225,2715340
645,1208028,2393690
646,1418697,2927328
647,1583266,2839126
648,1638622,2755019
649,1660840,2525003
650,1833828,2695735
651,1742841,2799781
652,1899907,2726959
653,1098516,2897259
654,1770007,2896728
655,1009385,2779369
656,1746217,2044245
657,1814616,2218716
658,1147750,2881788
659,1479083,2323698
660,1785729,2979168
661,1107483,2425799
662,1196483,2895452
663,1017939,2885674
664,1384988,2538126
665,1304370,2236378
666,1229754,2932767
667,1165149,2130828
668,1612731,2130828
669,1316141,2930124
670,1030821,2665643
671,1148422,2773461
672,1873748,2360466
673,1627157,2250886
674,1283697,2776815
675,1194695,2217153
676,1659226,2018289
677,1171476,2774284
678,1502439,2045695
679,1690930,2117934
680,1759264,2012641
681,1976658,2711266
682,1007351,2321043
683,1268228,2514834
684,1188525,2571595
685,1272281,2109393
686,1588751,2419423
687,1972625,2306507
688,1321491,2592498
689,1398896,2416250
690,1949761,2657746
691,1413397,2058368
692,1682307,2588754
693,1406313,2821458
694,1163491,2353469
695,1057244,2759724
696,1467653,2922169
697,1893135,2321985
698,1686286,2193203
699,1798350,2519032
700,1207153,2518664
701,1020505,2048036
702,1736233,2562355
703,1588086,2533291
704,1679626,2018061
705,1246446,2930124
706,1468046,2160369
707,1992404,2038431
708,1901300,2781755
709,1779429,2535415
710,1372417,2676468
711,1631079,2233605
712,1342159,2014642
713,1203914,2256698
714,1635934,2746308
715,1819111,2469157
716,1259379,2511750
717,1396217,2906296
718,1258102,2355197
719,1610114,2907325
720,1495960,2892916
721,1359972,2074234
722,1868278,2842367
723,1389865,2494859
724,1822047,2702170
725,1861820,2293795
726,1461487,2402250
727,1438785,2483064
728,1948058,2089596
729,1069130,2692433
730,1600914,2907203
731,1534298,2795019
732,1131079,2888257
733,1555021,2117577
734,1496191,2317128
735,1231188,2907878
736,1824164,2354753
737,1361247,2442853
738,1081161,2922401
739,1724253,2353114
740,1482471,2012460
741,1964107,2272642
742,1894390,2003254
743,1999668,2355197
744,1777860,2412667
745,1381139,2095182
746,1155955,2607509
747,1704949,2761819
748,1503171,2354633
749,1366612,2682172
750,1904808,2076937
751,1494146,2006617
752,1133256,2947705
753,1740665,2117998
754,1303506,2270270
755,1991501,2690456
756,1973697,2928594
757,1475296,2877866
758,1851325,2287547
759,1380651,2492831
760,1608260,2129881
761,1235435,2547848
762,1720695,2916623
763,1024160,2906082
764,1458445,2379080
765,1199190,2357313
766,1152633,2835765
767,1022749,2891673
768,1693014,2189186
769,1880455,2481973
770,1054926,2120523
771,1728296,2605193
772,1693880,2954514
773,1268085,2674111
774,1518604,2337363
775,1579197,2336098
776,1758603,2214867
777,1270611,2763154
778,1781650,2038546
779,1452443,2210549
780,1909086,2631104
781,1957021,2500794
782,1282262,2190160
783,1181542,2083031
784,1682582,2755499
785,1244836,2408956
786,1451899,2468113
787,1195367,2097476
788,1113837,2963985
789,1193112,2953455
790,1506288,2928594
791,1300132,2701918
792,1972233,2594754
793,1183481,2195755
794,1201631,2908150
795,1587237,2073203
796,1840969,2677357
797,1061595,2673441
798,1774504,2801427
799,1093521,2154098
800,1519694,2302416
801,1336041,2763646
802,1215318,2193179
803,1691850,2186521
804,1185268,2595659
805,1567933,2334057
806,1652621,2097000
807,1672660,2900346
808,1088533,2450369
809,1737911,2863326
810,1000868,2699292
811,1349403,2187574
812,1603696,2228075
813,1670965,2270249
814,1247596,2365930
815,1820424,2295836
816,1304358,2120523
817,1996849,2250408
818,1743821,2571837
819,1012905,2018131
820,1625444,2606437
821,1295496,2776790
822,1336828,2383935
823,1318921,2424703
824,1279412,2121074
825,1374729,2095520
826,1767527,2940222
827,1284977,2718404
828,1679236,2038305
829,1261373,2712941
830,1070303,2979464
831,1401623,2047508
832,1768403,2528477
833,1971477,2673603
834,1699175,2906296
835,1548123,2010729
836,1295093,2659464
837,1109928,2447833
838,1705535,2309344
839,1248272,2473873
840,1946523,2202630
841,1555900,2691151
842,1656988,2171598
843,1782327,2695735
844,1065995,2045248
845,1844023,2031328
846,1361954,2602440
847,1354665,2311811
848,1199003,2319493
849,1231372,2855038
850,1054702,2161469
851,1339984,2402949
852,1259453,2797617
853,1624208,2194146
854,1101532,2963162
855,1256629,2612638
856,1047828,2690631
857,1804464,2376619
858,1824788,2236919
859,1546190,2095743
860,1658504,2814372
861,1288821,2184300
862,1829683,2930124
863,1715918,2461863
864,1447926,2994762
865,1533542,2692717
866,1501071,2893856
867,1336133,2579064
868,1090855,2635043
869,1668811,2917844
870,1698074,2212373
871,1541310,2400070
872,1385794,2472609
873,1308102,2808262
874,1840073,2392197
875,1616103,2970460
876,1154935,2792004
877,1319989,2241655
878,1827071,2819495
879,1662493,2969032
880,1761871,2402446
881,1297564,2791855
882,1902489,2605009
883,1463081,2707290
884,1060377,2601838
885,1939915,2182742
886,1471560,2342108
887,1134674,2858743
888,1188418,2926583
889,1340692,2973049
890,1844292,2696112
891,1505428,2513754
892,1742711,2680676
893,1141477,2352563
894,1005142,2461863
895,1426410,2717763
896,1306382,2670053
897,1226309,2340955
898,1583024,2341948
899,1570600,2902280
900,1196504,2029032
901,1345296,2877866
902,1468379,2888833
903,1661351,2300479
904,1233107,2117577
905,1893231,2673441
906,1207786,2174016
907,1347899,2195523
908,1665334,2013308
909,1653191,2664627
910,1380777,2293062
911,1574649,2062987
912,1428396,2762796
913,1641328,2270331
914,1426136,2674111
915,1416861,2257065
916,1941490,2126867
917,1572527,2274041
918,1782309,2640120
919,1354507,2834820
920,1969200,2210418
921,1130430,2008356
922,1220348,2271998
923,1896873,2116866
924,1902066,2086796
925,1442079,2794003
926,1747390,2419498
927,1363217,2831351
928,1267264,2886015
929,1544707,2886015
930,1615285,2029708
931,1647719,2877790
932,1190694,2320157
933,1417657,2029708
934,1072365,2876990
935,1078941,2120396
936,1725848,2975435
937,1407561,2082259
938,1160249,2684357
939,1678717,2518464
940,1968066,2327766
941,1207461,2136665
942,1996513,2252707
943,1271314,2570674
944,1877821,2787241
945,1659571,2842149
946,1598830,2533964
947,1700952,2901902
948,1916535,2817508
949,1827757,2535561
950,1192489,2919586
951,1095503,2989815
952,1894358,2602440
953,1456725,2156298
954,1187102,2120678
955,1561119,2250389
956,1467975,2922302
957,1965285,2881277
958,1075443,2365930
959,1168529,2965903
960,1636401,2521886
961,1603221,2710777
962,1659964,2298150
963,1891638,2621405
964,1354411,2844312
965,1628327,2493397
966,1401541,2998617
967,1706894,2049524
968,1537683,2413794
969,1761195,2590993
970,1766915,2243291
971,1018039,2757593
972,1750386,2618379
973,1756091,2817508
974,1806269,2611099
975,1047864,2899771
976,1727355,2745397
977,1093647,2492987
978,1318876,2218124
979,1237375,2879555
980,1543929,2657746
981,1957741,2235380
982,1275916,2083049
983,1646757,2748838
984,1905347,2571461
985,1735587,2676468
986,1831619,2596529
987,1712216,2771294
988,1359473,2680020
989,1355184,2791645
990,1599560,2683845
991,1503954,2373900
992,1063605,2373900
993,1988176,2655051
994,1008225,2079534
995,1330987,2176846
996,1203481,2758526
997,1391371,2828758
998,1876995,2327729
999,1155263,2199384
1000,1776113,2347466
1001,1706646,2689850
1002,1155093,2821458
1003,1787216,2817911
1004,1921297,2681203
1005,1526079,2585760
1006,1653964,2410447
1007,1249246,2663293
1008,1644436,2126754
1009,1214363,2416648
1010,1884423,2117449
1011,1293486,2642288
1012,1849637,2333428
1013,1032738,2377999
1014,1665186,2636302
1015,1595797,2528477
1016,1495822,2405964
1017,1812533,2322445
1018,1495853,2977555
1019,1277490,2134786
1020,1035303,2941912
1021,1461919,2801755
1022,1109436,2814103
1023,1763804,2600655
1024,1150894,2227484
1025,1130598,2197495
1026,1692140,2536880
1027,1240757,2286243
1028,1222295,2647031
1029,1925519,2195755
1030,1058028,2216281
1031,1421968,2622065
1032,1822015,2407631
1033,1756078,2700631
1034,1772648,2097476
1035,1978372,2939903
1036,1010009,2032805
1037,1396652,2331630
1038,1521873,2791761
1039,1154074,2742049
1040,1882685,2835719
1041,1267925,2354402
1042,1231516,2456977
1043,1978870,2877790
1044,1573047,2811134
1045,1126501,2872861
1046,1844999,2262972
1047,1054685,2498685
1048,1556576,2227802
1049,1243779,2320563
1050,1952477,2746037
1051,1927326,2161320
1052,1828940,2101207
1053,1772384,2684384
1054,1144643,2949715
1055,1255827,2315781
1056,1173078,2773996
1057,1642645,2917744
1058,1023539,2407593
1059,1738264,2691429
1060,1184196,2378874
1061,1252107,2666507
1062,1263813,2702116
1063,1524222,2102367
1064,1256527,2680031
1065,1375617,2414379
1066,1026033,2998617
1067,1934153,2566358
1068,1620476,2857801
1069,1801914,2442286
1070,1933089,2094625
1071,1477541,2891591
1072,1837836,2612185
1073,1906790,2823671
1074,1163279,2352563
1075,1669949,2029732
1076,1669032,2719472
1077,1884886,2084019
1078,1287700,2083233
1079,1714193,2083682
1080,1821046,2189495
1081,1194652,2637820
1082,1530577,2760508
1083,1962861,2964839
1084,1028482,2443827
1085,1122187,2121074
1086,1984294,2330044
1087,1028076,2319707
1088,1015192,2973993
1089,1822016,2768461
1090,1657662,2159955
1091,1555950,2898028
1092,1774131,2260427
1093,1015113,2522180
1094,1443741,2248155
1095,1318913,2120271
1096,1729058,2189784
1097,1917081,2660007
1098,1986788,2306048
1099,1965992,2510427
1100,1628175,2000426
1101,1283556,2366788
1102,1569533,2029032
1103,1449202,2885121
1104,1529991,2886225
1105,1783080,2674381
1106,1938308,2360773
1107,1828695,2462012
1108,1983164,2980716
1109,1881019,2029732
1110,1355780,2290220
1111,1338332,2969057
1112,1912546,2013308
1113,1564620,2711882
1114,1808445,2844968
1115,1813965,2446958
1116,1208620,2726585
1117,1741349,2271727
1118,1458425,2664544
1119,1092841,2139196
1120,1352685,2032577
1121,1380791,2631104
1122,1705064,2985112
1123,1461831,2281331
1124,1055083,2177132
1125,1740271,2046165
1126,1507204,2657587
1127,1755086,2792951
1128,1350718,2685680
1129,1161822,2082622
1130,1602040,2709491
1131,1874951,2170108
1132,1175586,2109063
1133,1000773,2538498
1134,1510666,2928594
1135,1273795,2719875
1136,1303338,2072922
1137,1704031,2295025
1138,1509991,2830884
1139,1152711,2658029
1140,1276115,2187309
1141,1831403,2627916
1142,1083117,2247187
1143,1701088,2089901
1144,1938229,2682100
1145,1749637,2683661
1146,1987051,2144004
1147,1024561,2306676
1148,1562074,2190644
1149,1934213,2522658
1150,1641346,2718404
1151,1034217,2482095
1152,1784343,2945317
1153,1951592,2560062
1154,1234131,2264661
1155,1597156,2888563
1156,1539423,2707290
1157,1430115,2231885
1158,1471662,2821247
1159,1723313,2772324
1160,1049828,2830378
1161,1147651,2047959
1162,1726013,2119670
1163,1713536,2585414
1164,1345989,2625754
1165,1582572,2857572
1166,1738071,2616915
1167,1057856,2537434
1168,1901330,2469760
1169,1680869,2658106
1170,1627403,2943851
1171,1864906,2005843
1172,1750246,2247914
1173,1158949,2559025
